#Name, Date, RaDeg, DecDeg, AlertMag, HistoricMag, HistoricStdDev, Class, Published, Comment
Gaia16bpc,2016-10-19 14:56:33,147.06750,-47.42465,18.39,,,"unknown",2016-10-27 16:59:38,"candidate SN near faint smudge in DSS, GS-TEC predicts SN Ia"
Gaia16bpb,2016-10-20 03:18:59,182.00126,-57.70653,17.62,,,"unknown",2016-10-27 11:04:59,"candidate CV, rising blue hostless transient"
Gaia16bpa,2016-10-18 04:31:25,272.45945,-21.76201,16.47,15.40,0.13,"unknown",2016-10-27 08:47:25,"1 mag decline in red star in Galactic plane"
Gaia16boz,2016-10-17 14:15:52,120.45829,-11.55947,18.82,,,"unknown",2016-10-27 08:31:02,"candidate CV, declining hostless blue transient"
Gaia16boy,2016-10-21 00:02:50,256.04724,-30.15668,17.95,,,"unknown",2016-10-26 11:50:26,"candidate CV, declining blue hostless transient"
Gaia16box,2016-10-18 23:01:06,286.25694,1.51523,18.42,,,"unknown",2016-10-26 11:30:04,"candidate CV, hostless transient"
Gaia16bow,2016-10-13 00:26:11,7.44630,53.96569,18.79,,,"unknown",2016-10-25 16:49:51,"declining, blue, hostless transient"
Gaia16bov,2016-10-19 19:04:27,291.64113,16.03896,17.70,,,"unknown",2016-10-25 16:38:29,"rising transient near very faint SDSS galaxy SDSS J192633.84+160220.5 (behind our Galactic plane)"
Gaia16bou,2016-10-20 07:37:59,85.41350,20.77009,17.92,,,"unknown",2016-10-25 16:36:08,"hostless transient"
Gaia16bot,2016-10-18 00:56:24,49.65766,50.42367,18.81,,,"unknown",2016-10-25 16:34:03,"candidate CV, blue hostless declining transient"
Gaia16bos,2016-10-20 06:13:51,336.22065,53.50042,17.79,,,"unknown",2016-10-25 16:33:58,"candidate CV, blue hostless transient"
Gaia16bor,2016-10-18 11:35:16,234.33896,-48.58578,18.67,,,"unknown",2016-10-25 16:27:09,"declining transient near faint blue smudge in DSS"
Gaia16boq,2016-10-19 19:38:50,87.45883,20.11591,20.37,18.52,0.15,"unknown",2016-10-25 15:35:22,"red star declines by 2 mags"
Gaia16bop,2016-10-17 23:29:02,304.98968,19.98031,18.78,,,"unknown",2016-10-25 15:32:51,"candidate CV, blue hostless rising transient"
Gaia16boo,2016-09-16 15:46:53,98.14239,18.40620,18.57,,,"unknown",2016-10-24 21:55:56,"candidate SN at edge of galaxy 2MFGC 05236 "
Gaia16bon,2016-10-18 22:48:58,279.91699,-7.50273,17.62,,,"unknown",2016-10-24 18:53:12,"hostless transient"
Gaia16bom,2016-10-18 15:11:53,173.81773,-53.03430,18.01,,,"unknown",2016-10-24 18:40:24,"declining blue hostless transient"
Gaia16bol,2016-10-12 17:01:23,187.64150,-54.60705,17.96,,,"unknown",2016-10-24 18:31:07,"declining blue hostless transient"
Gaia16bok,2016-10-12 05:35:46,249.63371,-59.69052,17.69,,,"unknown",2016-10-24 18:24:20,"candidate CV, blue transient near Galactic plane"
Gaia16boj,2016-10-13 01:10:10,88.34855,50.38176,18.32,,,"unknown",2016-10-24 18:18:08,"candidate SN near galaxy 2MASX J05532369+5023004"
Gaia16boi,2016-10-12 11:02:49,189.71548,-55.68227,16.50,,,"unknown",2016-10-24 18:11:12,"candidate CV, declining bright hostless blue transient"
Gaia16boh,2016-10-12 09:51:21,252.65834,-58.69147,18.77,,,"unknown",2016-10-24 18:01:56,"candidate CV, rising blue transient near faint smudge in DSS"
Gaia16bog,2016-10-13 07:31:54,109.94221,32.75927,18.57,,,"unknown",2016-10-24 17:56:05,"candidate CV, hostless blue transient aka CSS130121:071946+324534"
Gaia16bof,2016-10-12 05:35:02,248.32096,-59.84372,18.17,,,"unknown",2016-10-24 17:38:47,"candidate CV, hostless blue transient"
Gaia16boe,2016-10-12 19:19:59,323.13558,15.40701,18.80,,,"unknown",2016-10-24 17:24:34,"candidate SN near galaxy 2MASX J21323273+1524288"
Gaia16bod,2016-10-12 17:44:47,261.58280,-54.54604,18.48,,,"unknown",2016-10-24 14:43:56,"apparently hostless blue transient"
Gaia16boc,2016-10-12 16:07:04,272.65183,-50.14802,18.93,,,"unknown",2016-10-24 14:26:57,"candidate CV, hostless blue transient"
Gaia16bob,2016-09-19 18:38:02,300.23680,-22.77724,18.78,,,"unknown",2016-10-24 14:12:03,"candidate SN in outskirts of galaxy ESO 526-19"
Gaia16boa,2016-10-13 04:57:50,305.21440,-12.66532,18.50,,,"unknown",2016-10-24 13:50:01,"candidate SN far from galaxy 2MASX J20205246-1240051"
Gaia16bnz,2016-10-17 12:59:20,55.07493,49.35893,13.71,12.70,0.19,"unknown",2016-10-24 13:35:18,"1.3 mag decline in 13th mag blue source over >1yr"
Gaia16bny,2016-10-17 04:43:03,156.77424,-43.72819,15.54,17.95,0.72,"CV",2016-10-22 18:37:07,"known CV J102705.8-434341 in outburst"
Gaia16bnx,2016-10-16 11:02:17,295.62338,-2.69988,18.30,,,"unknown",2016-10-22 18:34:42,"candidate CV, hostless blue transient"
Gaia16bnw,2016-10-16 16:55:50,291.45416,-7.05143,17.25,,,"unknown",2016-10-19 15:41:43,"blue transient ~2 arcsecs from faint SDSS star"
Gaia16bnv,2016-10-16 04:22:27,272.83792,-31.79358,17.44,,,"unknown",2016-10-19 15:40:14,"transient 6 degrees from Galactic centre"
Gaia16bnu,2016-10-15 22:23:52,274.87174,-31.51127,18.67,,,"unknown",2016-10-19 15:38:31,"blue transient, apparently hostless"
Gaia16bnt,2016-10-15 19:33:45,98.92313,27.74654,18.38,,,"unknown",2016-10-19 15:35:55,"blue transient close to very faint SDSS source"
Gaia16bns,2016-10-16 01:37:58,101.22381,23.91241,18.73,,,"unknown",2016-10-19 15:34:00,"hostless blue transient"
Gaia16bnr,2016-09-25 20:07:07,123.91792,-4.36447,18.06,,,"unknown",2016-10-19 15:32:39,"blue transient near extended DSS source (and/or GALEXASC J081540.21-042149.8)"
Gaia16bnq,2016-10-16 08:56:37,72.94153,44.60085,17.84,,,"unknown",2016-10-19 15:30:45,"candidate SN in galaxy WEIN 69, GS-TEC predicts SN IIn"
Gaia16bnp,2016-09-17 21:39:32,107.56219,19.94024,19.09,,,"unknown",2016-10-18 11:01:11,"rising transient near galaxy 2MASX J07101461+1956149"
Gaia16bno,2016-10-16 05:36:31,315.41850,21.95882,17.62,,,"unknown",2016-10-18 10:57:27,"new outburst in candidate CV aka MASTER OT J210140.49+215730.9"
Gaia16bnn,2016-10-14 10:20:31,277.67588,-37.07137,16.93,18.11,0.15,"unknown",2016-10-17 20:43:24,"source has brightened by > 1 mag"
Gaia16bnm,2016-10-14 07:17:52,91.19225,42.64262,18.03,,,"unknown",2016-10-17 20:35:18,"declining transient near blob in DSS, aka AT2016gzq"
Gaia16bnl,2016-10-02 13:19:54,319.92202,21.96563,17.67,,,"unknown",2016-10-17 15:31:14,"confirmed SN II at edge of galaxy UGC 11722"
Gaia16bnk,2016-10-13 09:29:04,210.71609,-58.20120,18.98,19.50,0.07,"unknown",2016-10-17 15:23:34,"old source brightens by 0.5 mags"
Gaia16bnj,2016-10-13 15:54:08,252.58148,-53.80281,16.05,14.89,0.17,"unknown",2016-10-17 15:19:05,"old source in decline has dimmed by >2 mags"
Gaia16bni,2016-10-13 16:56:40,181.19216,-50.65430,18.99,,,"unknown",2016-10-17 15:17:19,"transient near galaxy 2MASX J12044518-5039100"
Gaia16bnh,2016-10-14 07:06:42,77.06507,50.02681,18.15,,,"unknown",2016-10-17 15:14:51,"blue transient about 10 arcsec north of DSS source"
Gaia16bng,2016-10-14 10:33:42,286.93495,-27.96433,17.48,,,"unknown",2016-10-17 15:12:36,"candidate SN, hostless or quite far from host, GS-TEC predicts SN Ia"
Gaia16bnf,2016-09-20 19:41:34,124.36163,21.69047,18.20,,,"unknown",2016-10-14 09:55:15,"candidate SN in outskirts of UGC 4308 (lightcurve declining)"
Gaia16bne,2016-10-11 23:30:58,241.69992,-61.81829,16.98,,,"unknown",2016-10-14 09:52:40,"17th magnitude blue transient on faint smudge in DSS"
Gaia16bnd,2016-10-10 22:57:23,180.73770,-55.47794,18.75,,,"unknown",2016-10-14 09:51:17,"transient near faint DSS source"
Gaia16bnc,2016-10-10 17:03:49,188.89330,-60.06784,18.48,,,"unknown",2016-10-14 09:49:50,"transient near faint smudge in DSS."
Gaia16bnb,2016-10-11 06:37:58,30.18058,63.77608,18.27,,,"unknown",2016-10-14 09:34:46,"blue Gaia transient, near DSS smudge (SDSS source visible)"
Gaia16bna,2016-10-10 18:52:40,69.78196,65.44955,18.67,,,"unknown",2016-10-14 09:26:54,"blue transient on faint DSS source"
Gaia16bmz,2016-09-27 05:00:36,316.42036,-8.83407,19.38,,,"unknown",2016-10-13 14:10:27,"rising transient near SDSS galaxy"
Gaia16bmy,2016-10-10 21:22:37,197.60857,-62.59466,18.52,,,"unknown",2016-10-13 13:15:45,"candidate YSO suddenly appears to Gaia (so must have brightened by 2 mags)"
Gaia16bmx,2016-10-10 05:16:30,211.52346,-67.32853,17.93,,,"unknown",2016-10-13 13:13:56,"candidate CV, blue hostless transient"
Gaia16bmw,2016-10-11 07:15:31,105.76335,49.42362,17.95,,,"unknown",2016-10-13 13:10:52,"candidate SN in galaxy UGC 3638"
Gaia16bmv,2016-10-11 07:36:41,123.65404,30.06698,18.43,,,"unknown",2016-10-13 13:08:23,"candidate SN near centre of galaxy SDSS J081436.92+300401.0, GS-TEC predicts SN Ia"
Gaia16bmu,2016-10-10 03:13:24,181.77632,-59.05947,17.86,19.52,0.07,"unknown",2016-10-12 16:40:03,"1.5 mag rise in old source"
Gaia16bmt,2016-10-09 12:33:13,313.33735,-26.24782,18.08,,,"unknown",2016-10-12 13:51:13,"candidate SN near galaxy MRSS 529-158376"
Gaia16bms,2016-10-10 00:27:50,309.18856,-30.26372,16.70,,,"unknown",2016-10-12 13:49:59,"candidate CV? Rising hostless blue transient"
Gaia16bmr,2016-10-10 03:44:07,246.43792,-68.35280,18.98,,,"unknown",2016-10-12 13:48:04,"candidate SN near faint extended source in DSS, GS-TEC predicts SN Ia"
Gaia16bmq,2016-10-09 17:29:41,245.53108,-69.86470,18.36,,,"unknown",2016-10-12 13:46:02,"apparently hostless blue transient"
Gaia16bmp,2016-10-10 03:04:40,172.02248,-52.74905,17.45,,,"unknown",2016-10-12 13:44:43,"candidate CV, rising blue transient near faint smudge in DSS"
Gaia16bmo,2016-10-10 12:13:26,350.57333,50.15557,18.98,,,"unknown",2016-10-12 13:43:06,"candidate SN in outskirts of galaxy UGC 12558"
Gaia16bmn,2016-10-10 12:11:13,348.47922,48.32502,18.65,,,"unknown",2016-10-12 13:41:36,"candidate SN near galaxy UGC 12439"
Gaia16bmm,2016-09-13 13:25:48,118.27084,45.38605,20.26,,,"unknown",2016-10-12 13:39:58,"candidate SN in galaxy KUG 0749+455"
Gaia16bml,2016-10-10 04:13:52,292.25207,-51.97113,15.69,,,"SN Ia",2016-10-12 09:31:23,"bright candidate SN near GALEXASC J192901.47-515813.5, GS-TEC predicts SN Ia at t=1d (aka SN2016gtr)"
Gaia16bmk,2016-10-08 17:44:26,283.78281,-66.40046,18.61,,,"unknown",2016-10-10 16:28:52,"candidate SN on smudge in DSS, GS-TEC predicts SN Ia"
Gaia16bmj,2016-10-09 10:35:21,159.93211,-40.44493,17.61,,,"unknown",2016-10-10 16:25:56,"candidate SN near galaxy 2MASX J10394393-4026422"
Gaia16bmi,2016-10-09 09:13:08,179.02539,-60.57136,16.59,,,"unknown",2016-10-10 16:22:57,"candidate CV, blue transient"
Gaia16bmh,2016-10-02 23:13:56,324.00948,1.88568,19.26,,,"unknown",2016-10-10 16:19:37,"blue transient near galaxy SDSS J213602.48+015307.5"
Gaia16bmg,2016-10-07 18:17:57,346.65814,61.00646,19.76,18.49,0.20,"unknown",2016-10-09 20:48:38,"1.5 mag decline in red source"
Gaia16bmf,2016-09-17 16:31:41,313.97645,-38.35110,20.29,,,"unknown",2016-10-09 20:46:15,"rising transient near UV source GALEXASC J205554.46-382106.7"
Gaia16bme,2016-10-01 07:52:29,143.54353,6.39012,20.45,,,"unknown",2016-10-09 20:43:06,"rising transient in galaxy AGC 192726"
Gaia16bmd,2016-10-08 13:08:29,118.18001,58.69385,17.36,,,"unknown",2016-10-09 20:40:01,"candidate SN near galaxy 2MASX J07524342+5841346"
Gaia16bmc,2016-10-08 05:56:44,336.19094,38.88524,18.92,,,"unknown",2016-10-09 20:31:57,"candidate CV, blue orphan transient"
Gaia16bmb,2016-10-08 04:53:35,168.01523,-58.25177,17.96,,,"unknown",2016-10-09 20:30:15,"Blue transient next to faint smudge in DSS"
Gaia16bma,2016-10-07 11:13:07,190.15805,-75.05004,18.50,,,"unknown",2016-10-09 20:28:47,"blue orphan transient"
Gaia16blz,2016-09-10 04:20:45,307.49319,-58.28532,18.35,,,"unknown",2016-10-09 20:26:09,"Declining new source offset from galaxy 2MASX J20295848-5817054"
Gaia16bly,2016-10-07 13:24:52,135.89346,41.71280,17.15,,,"unknown",2016-10-09 20:24:09,"rather bright and blue transient for host galaxy SDSS J090334.57+414236.4"
Gaia16blx,2016-10-06 21:53:24,296.46582,-73.93033,18.79,,,"unknown",2016-10-09 20:17:40,"blue transient about 5 arcsecs from faint blue source in DSS"
Gaia16blw,2016-10-07 03:35:47,222.38645,-80.76945,19.00,,,"unknown",2016-10-09 20:16:35,"transient in galaxy ESO 22-4"
Gaia16blv,2016-10-06 21:11:48,163.31265,-64.74828,18.94,,,"unknown",2016-10-09 20:15:24,"faint hostless blue transient"
Gaia16blu,2016-10-07 06:06:33,337.13933,50.67113,17.72,,,"unknown",2016-10-09 20:14:15,"candidate CV, declining hostless blue transient"
Gaia16blt,2016-10-06 18:42:35,67.02038,82.09684,18.95,,,"unknown",2016-10-09 20:12:09,"blue transient few arcsecs from faint galaxy SDSS J042803.26+820552.3"
Gaia16bls,2016-10-06 10:53:27,323.37899,-20.52691,17.47,,,"unknown",2016-10-07 17:39:14,"blue transient near galaxy 2MASX J21333118-2031363"
Gaia16blr,2016-10-06 10:01:55,147.60949,-12.04800,18.87,,,"unknown",2016-10-07 17:35:49,"transient close to UV source GALEXASC J095026.24-120251.4"
Gaia16blq,2016-10-05 20:48:54,149.87486,-44.99382,18.01,,,"unknown",2016-10-07 17:32:24,"hostless blue transient"
Gaia16blp,2016-10-04 18:02:34,324.49999,50.68332,19.71,18.34,0.20,"unknown",2016-10-07 12:33:58,"erratic variable red star undergoing dimming"
Gaia16blo,2016-10-04 16:25:37,326.66796,-45.68545,18.55,,,"unknown",2016-10-07 09:20:17,"candidate SN near galaxy APMUKS(BJ) B214328.61-455500.0, GS-TEC predicts SN Ia at t=6"
Gaia16bln,2016-10-05 11:23:42,326.66653,9.35523,17.79,,,"unknown",2016-10-07 09:15:50,"candidate CV, aka CSS110613 J214640+092119"
Gaia16blm,2016-10-05 18:05:05,330.61410,51.82523,18.02,,,"unknown",2016-10-07 09:04:37,"candidate CV, hostless blue transient"
Gaia16bll,2016-10-04 23:46:21,326.05768,33.10739,18.74,,,"unknown",2016-10-07 09:00:24,"hostless blue transient"
Gaia16blk,2016-09-24 12:21:01,326.95288,-31.08067,20.71,,,"unknown",2016-10-05 14:28:05,"rising blue transient, candidate SN near galaxy 2dFGRS TGS328Z261"
Gaia16blj,2016-10-03 23:33:57,323.85616,21.32013,18.95,,,"SN Ia",2016-10-05 14:25:26,"confirmed SN Ia aka SN2016fmb"
Gaia16bli,2016-10-04 08:58:14,148.35553,52.26326,18.85,,,"unknown",2016-10-05 14:21:15,"candidate SN near galaxy SDSS J095325.11+521551.8"
Gaia16blh,2016-10-04 00:48:12,162.94380,77.18216,18.76,,,"unknown",2016-10-05 14:19:02,"blue transient on very faint smudge in SDSS"
Gaia16blg,2016-10-03 06:02:50,315.26076,52.45242,14.90,14.39,0.05,"YSO",2016-10-05 14:14:00,"YSO 2MASS J21010258+5227086 showing 0.5 mag dip"
Gaia16blf,2016-08-29 01:05:17,289.72195,79.53795,20.64,,,"unknown",2016-10-05 13:34:19,"candidate CV, hostless rising transient"
Gaia16ble,2016-10-03 11:37:40,321.60054,25.64078,16.52,18.57,0.13,"unknown",2016-10-05 13:31:02,"candidate CV in outburst, aka MASTER OT J212624.16+253827.2"
Gaia16bld,2016-10-03 03:47:44,0.20425,-77.31605,16.40,18.46,0.60,"CV",2016-10-05 13:29:34,"known dwarf nova BE Oct in outburst"
Gaia16blc,2016-10-03 15:50:33,347.68952,-76.25405,18.06,,,"unknown",2016-10-05 13:27:52,"candidate SN near galaxy 2MASX J23104248-7615105, GS-TEC predicts SN Ia"
Gaia16blb,2016-10-03 04:12:48,141.23333,-25.16495,18.71,,,"unknown",2016-10-05 13:26:37,"candidate SN near galaxy 2MASX J09245627-2509548, GS-TEC predicts SN Ia"
Gaia16bla,2016-10-03 04:17:53,140.46031,-29.96025,17.06,,,"unknown",2016-10-05 13:24:55,"candidate CV, aka CRTS SSS110515 J092151-295737"
Gaia16bkz,2016-10-02 22:10:35,140.86677,-23.16965,15.95,,,"SN Ia",2016-10-05 10:08:40,"bright candidate SN near galaxy NGC 2865"
Gaia16bky,2016-10-03 11:44:49,320.92438,33.11466,18.15,,,"SN Ia",2016-10-05 09:52:23,"confirmed SN Ia near galaxy 2MASX J21234100+3307075 (GS-TEC predicts SN Ia)"
Gaia16bkx,2016-08-28 06:52:16,249.41174,72.37350,17.33,,,"SN Ia",2016-10-04 17:24:45,"Confirmed SN Ia in galaxy UGC 10502, aka SN 2016fnr"
Gaia16bkw,2016-10-02 04:06:06,139.43762,-19.10230,18.74,,,"unknown",2016-10-04 16:58:08,"candidate CV, hostless blue transient"
Gaia16bkv,2016-10-02 14:59:57,129.46979,-55.78257,19.00,,,"unknown",2016-10-04 16:51:16,"candidate SN near 2MASX J08375194-5546546 GS-TEC predicts SN Ia"
Gaia16bku,2016-10-01 23:12:57,89.66705,-75.31086,18.49,,,"unknown",2016-10-04 16:45:24,"candidate CV, hostless blue transient"
Gaia16bkt,2016-09-27 12:22:50,330.01532,-30.18426,17.39,,,"SN Ia",2016-10-03 14:39:41,"confirmed SN Ia near galaxy ESO 466- G 032, aka SN 2016ekg"
Gaia16bks,2016-09-30 22:01:31,353.80932,-62.00281,18.94,,,"unknown",2016-10-03 14:34:41,"candidate SN near galaxy 2MASX J23351449-6200124, GS-TEC predicts SN IIn"
Gaia16bkr,2016-09-30 15:58:37,358.74138,-63.45370,18.31,,,"SN Ia",2016-10-03 14:31:44,"candidate SN near galaxy APMUKS(BJ) B235220.41-634355.7 GS-TEC predicts SN Ia"
Gaia16bkq,2016-10-01 09:11:45,110.62503,-63.96105,18.04,,,"unknown",2016-10-03 14:29:13,"candidate CV, hostless blue transient"
Gaia16bkp,2016-10-01 15:13:38,110.44543,-65.82253,18.82,,,"unknown",2016-10-03 14:25:35,"blue transient near galaxy 6dFGS gJ072147.4-654916"
Gaia16bko,2016-10-01 12:06:21,300.57146,56.38425,18.49,,,"unknown",2016-10-03 14:22:31,"candidate SN near galaxy 2MFGC 15274 GS-TEC predicts SN IIP"
Gaia16bkn,2016-10-01 17:44:43,313.68431,34.13303,18.34,,,"unknown",2016-10-03 14:18:07,"candidate hostless SN, GS-TEC predicts SN Ia"
Gaia16bkm,2016-09-30 11:26:50,315.00996,16.26885,18.34,,,"SN II",2016-10-03 14:14:30,"confirmed SN II near galaxy SDSS J210003.23+161552.0, GS-TEC predicts SN IIn, aka SN 2016gop"
Gaia16bkl,2016-09-26 13:32:14,144.47462,23.15281,18.08,,,"unknown",2016-10-03 11:33:09,"candidate SN in galaxy MCG+04-23-021"
Gaia16bkk,2016-09-25 23:28:38,296.91062,16.22478,18.92,,,"unknown",2016-10-03 11:31:26,"transient near faint smudge in DSS"
Gaia16bkj,2016-09-25 23:26:17,298.54564,14.16767,18.96,,,"unknown",2016-10-03 11:29:45,"blue hostless transient"
Gaia16bki,2016-09-26 05:25:35,299.58972,13.56241,18.94,,,"unknown",2016-10-03 11:28:09,"blue hostless transient"
Gaia16bkh,2016-09-25 18:24:07,233.42478,55.94506,18.82,,,"unknown",2016-10-03 11:26:32,"transient near galaxy SDSS J153341.92+555646.0"
Gaia16bkg,2016-09-25 09:11:29,147.22815,28.89641,18.64,,,"unknown",2016-10-03 11:25:06,"transient near galaxy 2MASX J09485441+2853499"
Gaia16bkf,2016-09-24 23:23:49,295.79718,10.73820,18.94,19.50,0.06,"unknown",2016-10-03 11:19:21,"0.6 mag increase in star close to Galactic plane"
Gaia16bke,2016-09-24 03:45:15,123.34991,4.16890,18.76,,,"unknown",2016-09-27 09:43:07,"blue transient near galaxy SDSS J081323.81+041009.1"
Gaia16bkd,2016-09-25 00:06:20,258.67555,45.68745,18.17,,,"unknown",2016-09-27 09:36:22,"candidate SN offset from centre of galaxy SDSS J171442.19+454114.7, GS-TEC predicts SN Ia"
Gaia16bkc,2016-09-24 00:36:28,314.80798,-18.99919,18.53,,,"unknown",2016-09-26 12:02:06,"blue transient near faint smudge in DSS"
Gaia16bkb,2016-09-23 16:37:29,323.21982,-28.91053,18.54,,,"unknown",2016-09-26 11:48:55,"rising blue hostless transient"
Gaia16bka,2016-09-23 05:41:04,276.10488,23.17526,18.16,,,"unknown",2016-09-26 11:43:14,"candidate SN in galaxy 2MASX J18242499+2310342"
Gaia16bjz,2016-09-23 21:29:34,49.55518,-50.88481,18.56,,,"unknown",2016-09-25 21:22:42,"candidate SN offset from galaxy 2MASX J03181408-50525"
Gaia16bjy,2016-09-23 17:50:33,270.16561,31.76301,18.59,,,"unknown",2016-09-25 21:19:41,"hostless blue transient"
Gaia16bjx,2016-09-23 18:29:05,218.17274,52.08079,18.82,,,"unknown",2016-09-25 21:15:22,"candidate SN close to centre of galaxy SDSS J143241.36+520452.1"
Gaia16bjw,2016-09-22 04:42:58,315.13017,-25.82049,18.56,,,"unknown",2016-09-25 21:08:43,"candidate SN near galaxy 2MASX J21003069-2549194"
Gaia16bjv,2016-09-22 04:19:14,338.30721,-40.64329,17.69,,,"unknown",2016-09-25 21:06:55,"candidate SN near galaxy 6dFGS gJ223312.3-403842"
Gaia16bju,2016-09-22 23:52:47,264.41701,31.82530,18.57,,,"unknown",2016-09-25 21:05:43,"candidate SN near galaxy SDSS J173739.75+314928.5"
Gaia16bjt,2016-09-22 05:07:11,296.67790,-6.93915,17.50,,,"unknown",2016-09-25 21:04:28,"candidate CV, blue transient"
Gaia16bjs,2016-09-22 03:34:37,123.79743,14.91341,18.09,,,"unknown",2016-09-25 21:02:50,"candidate SN near galaxy SDSS J081511.23+145444.7"
Gaia16bjr,2016-09-21 16:50:54,307.46721,-20.29003,18.44,,,"unknown",2016-09-23 11:54:01,"blue hostless transient, previous outburst seen in CRTS"
Gaia16bjq,2016-09-21 10:44:16,311.74479,-25.78499,18.56,,,"unknown",2016-09-23 11:52:24,"candidate SN near galaxy 2MASX J20465854-2546587"
Gaia16bjp,2016-09-21 10:37:44,317.77297,-30.12730,18.75,,,"unknown",2016-09-23 11:50:42,"hostless declining blue transient (aka ASASSN-16ij)"
Gaia16bjo,2016-09-21 21:39:08,32.53400,-48.64009,18.89,,,"unknown",2016-09-23 11:47:15,"candidate young SN near galaxy GALEXASC J021008.15-483823.5, GS-TEC predicts SN Ia at -8 dy"
Gaia16bjn,2016-09-21 12:33:59,204.92340,48.51532,18.70,,,"unknown",2016-09-23 09:13:27,"hostless blue transient"
Gaia16bjm,2016-09-21 19:14:01,150.37628,37.20476,17.00,,,"unknown",2016-09-23 09:10:05,"candidate SN in galaxy IC 2530, GS-TEC predicts SN Ia at t=+21 dy"
Gaia16bjl,2016-09-20 17:13:59,286.34907,-3.48438,18.86,,,"unknown",2016-09-22 13:11:11,"hostless transient close to galactic plane"
Gaia16bjk,2016-09-20 04:28:39,323.90815,-36.77632,18.99,19.68,0.13,"QSO",2016-09-22 12:22:58,"brightening of UV source GALEXASC J213537.95-364634.1"
Gaia16bjj,2016-09-20 15:05:35,67.13133,-32.48223,18.65,,,"unknown",2016-09-22 11:54:52,"new blue source near galaxy GALEXASC J042831.30-322857.7"
Gaia16bji,2016-09-20 23:48:31,260.23980,24.90980,18.10,,,"unknown",2016-09-22 10:35:57,"candidate SN near centre of galaxy SDSS J172057.55+245435.5, GS-TEC predicts SN Ia close to max"
Gaia16bjh,2016-09-20 12:21:18,221.60259,43.83456,17.23,,,"unknown",2016-09-22 10:19:06,"candidate bright SN in starburst galaxy 2MASX J14462501+4349563, GS-TEC predicts SN Ia near max"
Gaia16bjg,2016-09-21 00:14:51,231.62277,41.73446,16.70,,,"SN IIP",2016-09-22 10:13:15,"confirmed SN type IIP in galaxy UGC 09857 "
Gaia16bjf,2016-09-21 07:34:59,130.72110,25.07092,17.21,,,"unknown",2016-09-22 10:06:44,"candidate SN in galaxy UGC 4542"
Gaia16bje,2016-09-20 04:51:20,302.26186,-21.95240,18.15,,,"unknown",2016-09-21 14:54:41,"hostless blue-ish transient"
